audio_label,vision_label,seconds,videos
"boat, water vehicle",speedboat,5.0,1
car,carousel,5.0,1
car,toy car,5.0,1
church bell,metal bell,5.0,1
clapping,clapping,5.0,1
dial tone,dial,5.0,1
ding,scaffolding,5.0,1
"dishes, pots, and pans",candle,5.0,1
"dishes, pots, and pans",wristband,5.0,1
door,wooden door,5.0,1
emergency vehicle,bushe,5.0,1
emergency vehicle,carving,5.0,1
explosion,nuclear explosion,5.0,1
fill (with liquid),liquid,5.0,1
goose,goose,5.0,1
hoot,shooting star,5.0,1
"ice cream truck, ice cream van",ice rink,5.0,1
"ice cream truck, ice cream van",ice skate,5.0,1
"ice cream truck, ice cream van",police,5.0,1
jingle bell,bell,5.0,1
"livestock, farm animals, working animals",farmer,5.0,1
"marimba, xylophone",xylophone,5.0,1
"motorboat, speedboat",speedboat,5.0,1
police car (siren),car,5.0,1
police car (siren),vehicle,5.0,1
"railroad car, train wagon",cardboard,5.0,1
"railroad car, train wagon",cargo,5.0,1
"railroad car, train wagon",carriage,5.0,1
"railroad car, train wagon",freight car,5.0,1
rain,grain,5.0,1
rain,rain,5.0,1
rain on surface,grain,5.0,1
rain on surface,wet surface,5.0,1
"rowboat, canoe, kayak",canoe,5.0,1
sewing machine,machine,5.0,1
sewing machine,machinery,5.0,1
sewing machine,sewing machine,5.0,1
shuffling cards,car,5.0,1
sliding door,wooden door,5.0,1
steam,steam,5.0,1
steam whistle,steam,5.0,1
telephone bell ringing,barbell,5.0,1
tick,stick,5.0,1
trombone,trombone,5.0,1
tuning fork,fork,5.0,1
vehicle,car seat,5.0,1
vehicle,caraf,5.0,1
vehicle,cardboard,5.0,1
vehicle,carousel,5.0,1
vehicle,freight car,5.0,1
vehicle,papercard,5.0,1
vehicle,wooden cart,5.0,1
"vehicle horn, car horn, honking",buse,5.0,1
"vehicle horn, car horn, honking",cable car,5.0,1
"vehicle horn, car horn, honking",card,5.0,1
"vehicle horn, car horn, honking",carving,5.0,1
"vehicle horn, car horn, honking",number card,5.0,1
"vehicle horn, car horn, honking",toy car,5.0,1
water,water stream,5.0,1
white noise,white cloth,5.0,1
wind,wind,5.0,1
wind noise (microphone),wind,5.0,1
aircraft,aircraft carrier,4.0,1
"boat, water vehicle",bush,4.0,1
"boat, water vehicle",rowboat,4.0,1
"boat, water vehicle",streetcar,4.0,1
clip-clop,clipboard,4.0,1
ding,decorative molding,4.0,1
french horn,horn,4.0,1
"ice cream truck, ice cream van",device,4.0,1
owl,owl,4.0,1
rain,terrain,4.0,1
rain on surface,terrain,4.0,1
vehicle,a truck,4.0,1
vehicle,armored car,4.0,1
vehicle,card,4.0,1
vehicle,carol,4.0,1
vehicle,caroler,4.0,1
"vehicle horn, car horn, honking",bush,4.0,1
"vehicle horn, car horn, honking",cargo,4.0,1
"vehicle horn, car horn, honking",police car,4.0,1
"vehicle horn, car horn, honking",train car,4.0,1
wind noise (microphone),microphone,4.0,1
artillery fire,firetruck,2.0,1
bird,two bird,2.0,1
car,police car,2.0,1
machine gun,machinery,2.0,1
rain,trainer,2.0,1
rain on surface,drain,2.0,1
steam whistle,steam pot,2.0,1
vehicle,armored vehicle,2.0,1
vehicle,cargo net,2.0,1
wind noise (microphone),windmill,2.0,1
